"receiver","balance"
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,99496000000
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,66541000000
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,32512000000
0x1F88d0F55931fdc1DD95a714BDF7208ef9B4AB4f,25561000000
0x84197fa35061a353FDfab8eE125beE39668c056B,20228000000
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,13000000000
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,10057000000
0x9Bd26Aef3805e8B88581CF090a3905c9029b2780,9259500000
0xB389efe19DA39DeD65657736E4ed298017d9238C,8045800000
0x1E11D959310C69628D487620A17D7F8841257BC9,6293700000
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,5066900000
0xE1CbA71F8C268E866c1070C233113A0bDF2B2869,4525700000
0xC7943625De1318f75F4a3E1C2c1EB3de39790A4c,4120000000
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,3937300000
0xbA4203B7Eb3528f9Ce4A2D838c2cD5cBDd5fbE65,3002800000
0x2319ad98c36dfBcd5e99a99685B317A71e14FCB6,2914100000
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,2792100000
0x91d8e910cD54a978F5929BB63b0A1cEE5aEAC09b,2273400000
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,1908200000
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1880600000
0xD563834c354a736c92708E4c727eB0Da81ABfDC8,1805200000
0x613174b2CA69A9644cf0E2E9dd0B628b760F1418,1693600000
0xe02C859De76A8Ab1124742c416B8186978E09bb4,1534400000
0xf6beA11f086242ec1b61968a8557b18aeECF0086,1336900000
0x853eadd8cc45896D29826911026e47B919F7368d,1332700000
0xAD8da72fB6c0Bc3b27A67dBe0Daf8AD1476c8D20,1244800000
0xDa399382F2bCAF1199D72D0E76592eb3147aC8f6,1243700000
0x522f7bb9291aBbdF7743DF72C67bed55d7EB4D33,1104600000
0x9C63A655614a019cDd06c0491d5D8D0cD0E6B387,1005700000
0x9778cB519Bd44A42146D6A1B5Cd9c12Bb22f9ee6,1005700000
0x3F1Ef3964aaa78F182aB6387859AD6FEE3Cb5144,1005700000
0x8E69F1E96658D5820FCd56584F169b6a274C3330,1005700000
0xA8735830C77d9cf4Bd9A3acC75DB41Ee045bFD14,1005500000
0x0dd2706553B48e41327624685f0D8a5eb95B48BB,1001600000
0x00BdE02A876D67C22E46F4De7AbB73178061D577,950710000
0x40F61a408D6F05e74c454DF0542754ED2232F48C,934650000
0xfB484E136c85b961473d385093b1aB071D407aeC,828650000
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,681870000
0xB4253Bcd1c36FB632484A9568E60733A4caA2294,663070000
0xF365EaE95B8F43FCb76C57152Ca5419a2B4AaF0b,659850000
0x182393120C0Ba4E60f8E86f45460bF9fB4E00ee3,654500000
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,600340000
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,496820000
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,488770000
0x28aEF7e702afeDA80F05Cb8457d49cCebe7F66f2,425110000
0x29920a39e695B45F693139382e90Ead7ad9CAe18,302740000
0x549F317C3dC64886c947e345181F70a7CF65F4B6,270550000
0x835534ec13Cd0cdCb17F36E365e4eD36827650D2,268490000
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,247800000
0x3240B24D39C54c22b25215C1EA5FdEEEa7E4e357,220480000
0x531d5E1869c6aE245Dc3D62bF3B14B6d1A53F5F8,203540000
0x9C40f24F7B25dBf221343D6600286cD78a733B88,201140000
0x492265FF01A025a1031ba8E7fF62dcCC73c4aD05,196970000
0x486C58f5A677FDc1Ac07DB4d055cFcd2FC53D1F6,175670000
0x011ADd34411141ed00EF0eD4e3574FbCC5cF4645,169920000
0x5F03d4d8736A91494f875d89aaC7EcBAEDAc9d55,143160000
0x47478d364C67D9fDf65F485B451c1FD81643065E,134490000
0xE98566189AB596E7eA585E898ee0FD580A64D179,121660000
0xEb96A35B1728c4381B8ab3cbf8959f5b30e14141,120810000
0xA718f325b66C4904fefb0a4d07D148A524d05C9f,116470000
0xD54373994D41aDa61Cf1B00f961c936f7071B53D,112530000
0x4AFeD450a0DB5483A7F70bfbCf0B5231A5e5899F,109670000
0xBABA3AF8524b044A4aB2956789bAaDDb93Ca7725,102590000
0x0B6625fC636c089be3486768B2cC933bA4511163,102010000
0x5F24D718FCd798F43d37B20E7c50C400b82891BB,100570000
0x166461E6D138D48ee2B40d6120Ea1bDdf4Fb40A5,100570000
0x8a7bb9187D769f32959B9cbc744E1FC0edD95bc0,99763000
0xD87d8537494e703eB56d852c74726fbaDff4B818,98343000
0x1Eca83d1C2a32094aA4D21E4075dBd2CA1e7e8B3,60156000
0x65fEd0512ed1D30E9f152e172f857DEb5CAA61C8,56204000
0xa3DcD8E2F1Bba0898f58737D7C9146aB010921Af,29656000
0xCc77f18A2a1fD216C7C225BC4096249bFA8e501c,24140000
0x022607De18ff02f02C38012829e52e41B6956593,8231300
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,5828800
0xEB20d24d42110B586B3bc433E331Fe7CC32D1471,566400
